KnowledgeID,Category,KnowledgeName,KnowledgeDetail,ReferenceFile
152ea2b9-256c-44a3-ae5a-d6e785439f00,วิธีทำคืน Asset ในระบบ,คืน Asset ในระบบ (Return),"1. Login i-Solution ผ่าน https://mfecerpmfec.co.th 2. เลือกเมนู I-Asset 3. เลือกรายการที่ต้องการคืนแล้วกด Transfer 4. เลือกเมนู Return คืน IT, ระบุ Location (อาคาร LPN ชั้น 21) และ Remark (เช่น คืนของ IT Support ตึก LPN 21) แล้วกด Save 5. กด Transfer และ Transfer อีกครั้ง 6. แจ้งหัวหน้า Approve",main/วิธีทำคืน Asset ในระบบ/How to transfer-return-split ERP.pdf; main/วิธีทำคืน Asset ในระบบ/วิธีทำคืน Asset ในระบบ.docx; main/วิธีทำคืน Asset ในระบบ/วิธีทำคืน Asset ในระบบ.pdf
bb477b3f-9de4-4e15-845e-7d8553fcb7bb,วิธีทำคืน Asset ในระบบ,ขั้นตอน Transfer/Return/Split,"1. Login ผ่าน https://mfecerp.mfec.co.th/ 2. เลือกเมนู I-Asset 3. เลือกรายการที่ต้องการดำเนินการ 4. เลือกเมนูที่ต้องการ (Use/Repair, Return, Split) 5. กรอกรายละเอียดและกด Transfer ยืนยัน 6. รายการจะอยู่ใน Pending transfer รอการอนุมัติ",main/วิธีทำคืน Asset ในระบบ/How to transfer-return-split ERP.pdf; main/วิธีทำคืน Asset ในระบบ/วิธีทำคืน Asset ในระบบ.docx; main/วิธีทำคืน Asset ในระบบ/วิธีทำคืน Asset ในระบบ.pdf
8535ad61-3b00-4e9b-95ad-c1aa64a52830,"คู่มือติดตั้ง Printer ของ LPN, SJ",ติดตั้ง Printer Kyocera (LPN & SJ),เข้าถึง Shared Folder โดยพิมพ์ \\10.6.100.106 ใน Run App และ Login ด้วย Username ของตนเอง จากนั้น Copy ไฟล์ Setup All printer จาก Share_File_IT_Support ไปไว้ที่ Desktop แล้วดับเบิ้ลคลิกเพื่อติดตั้ง เลือกชั้นที่จะติดตั้ง printer โดยพิมพ์ตัวเลขตามที่กำหนด และกด N กับ Enter เพื่อออกจาก cmd,"main/คู่มือติดตั้ง Printer ของ LPN, SJ/คู่มือติดตั้ง printers.pdf"
0c2cfbbe-1221-491b-a871-e0ccccf829eb,"คู่มือติดตั้ง Printer ของ LPN, SJ",ตั้งค่า Printer หลังติดตั้ง,หลังติดตั้ง printer ให้ไปที่ Control Panel -> View devices and printers คลิกขวาที่ printer ที่ติดตั้ง เลือก Printer properties -> Preferences... ตั้งค่าหน้ากระดาษเป็น A4 (100%) และเลือกสีเทา,"main/คู่มือติดตั้ง Printer ของ LPN, SJ/คู่มือติดตั้ง printers.pdf"
05de660e-d5a6-4ae0-b6ff-eae6bd7f9116,"คู่มือติดตั้ง Printer ของ LPN, SJ",ตั้งค่า Job Accounting,ใน Printer properties ไปที่แท็บ Device Settings เลือก Administrator ติ๊กถูกที่ Job accounting และใส่ cost center ของทีมตัวเอง,"main/คู่มือติดตั้ง Printer ของ LPN, SJ/คู่มือติดตั้ง printers.pdf"
da9ccef6-8e03-4b41-a651-0b88c99bfd28,Change password,ขั้นตอนการเปลี่ยนรหัสผ่าน MFEC,"1. เข้าเว็บไซต์ https://ampm.mfec.co.th/signfront/authen/login
2. เลือก Change Password (MFEC)
3. กรอกข้อมูล: Account (Username), Old Password, New Password, Confirm New Password
4. กด Change Password",main/Change password/How to change password.pdf
38425fec-0ffa-4b68-90fe-cfdfeb48e3db,Change password,ข้อกำหนดรหัสผ่านใหม่,"1. ความยาวอย่างน้อย 8 ตัวอักษร
2. มีอักขระพิเศษ (@, #, $, %, etc.)
3. มีตัวอักษรพิมพ์เล็ก, พิมพ์ใหญ่ และตัวเลข
4. ไม่ซ้ำกับรหัสผ่านเก่า 3 ครั้งล่าสุด
5. ไม่มีชื่อผู้ใช้ในรหัสผ่าน",main/Change password/How to change password.pdf
b5ceda17-a9c6-41bb-8c2f-1a18fbcca7bc,คู่มือ Disable AD พนักงานลาออก,เข้า Admin Center,เข้า Admin center ผ่าน outlook on web ที่ https://admin.microsoft.com/AdminPortal/Home#/homepage,main/คู่มือ Disable AD พนักงานลาออก/คู่มือ Disable AD พนักงานลาออก.pdf
89f77286-a2c3-473d-a10c-35304811013d,คู่มือ Disable AD พนักงานลาออก,เข้า Exchange Admin Center,จาก Admin center เลือก Show all -> Exchange เพื่อเข้า Exchange admin center (https://outlook.office365.com/ecp/?rfr=Admin_o365&exsvurl=1&mkt=en-US&Realm=mfec.co.th),main/คู่มือ Disable AD พนักงานลาออก/คู่มือ Disable AD พนักงานลาออก.pdf
0cb1d4df-ffab-4d3f-8378-7cb069723738,คู่มือ Disable AD พนักงานลาออก,Backup Mailbox เป็น Shared Mailbox,ใน Exchange admin center เลือก Mailboxes -> ค้นหาอีเมลพนักงาน -> Convert to Shared Mailbox เพื่อสำรองอีเมล (กรณีพนักงานกลับมาทำงาน),main/คู่มือ Disable AD พนักงานลาออก/คู่มือ Disable AD พนักงานลาออก.pdf
67f243e5-a4dc-496c-bba0-5365c8f44248,คู่มือ Disable AD พนักงานลาออก,ถอด Licenses พนักงาน,กลับไปที่ Admin center -> Users -> Active Users -> ค้นหาอีเมลพนักงาน -> Licenses and Apps -> เอา Licenses ออก -> Save changes,main/คู่มือ Disable AD พนักงานลาออก/คู่มือ Disable AD พนักงานลาออก.pdf
13cdc9eb-5fb0-40fa-9c86-7f48e18c193e,คู่มือ Disable AD พนักงานลาออก,Block Sign-in,หลังจากถอด Licenses แล้ว ให้ Block Sign-in โดยเลือก Block this user from signing in -> Save changes,main/คู่มือ Disable AD พนักงานลาออก/คู่มือ Disable AD พนักงานลาออก.pdf
37e15c67-8224-4a03-9da9-2fa0222a6612,คู่มือ Disable AD พนักงานลาออก,Find User บน AD Server,บน AD Server คลิกขวาที่ Employee -> Find -> ใส่ชื่อพนักงาน -> Find Now -> ดับเบิ้ลคลิกที่ชื่อ User (ไม่มีลูกศรที่ไอคอน),main/คู่มือ Disable AD พนักงานลาออก/คู่มือ Disable AD พนักงานลาออก.pdf
fe2e522c-62f8-4b3c-8ad1-fb6cb18c9182,คู่มือ Disable AD พนักงานลาออก,ลบ Group Memberships,ใน AD User เลือก Member Of -> ลบ Group ต่างๆ ให้เหลือแค่ Domain Users -> Apply,main/คู่มือ Disable AD พนักงานลาออก/คู่มือ Disable AD พนักงานลาออก.pdf
a15a1f11-5b25-4d6d-a853-2b226c3257e3,คู่มือ Disable AD พนักงานลาออก,Clear Manager,ใน AD User เลือก Organization -> Clear ช่อง Manager -> Apply (ข้ามขั้นตอนนี้ถ้าไม่มีข้อมูล Manager),main/คู่มือ Disable AD พนักงานลาออก/คู่มือ Disable AD พนักงานลาออก.pdf
e8b664ec-e0cc-4b41-9b7a-c4c542c9f3a3,คู่มือ Disable AD พนักงานลาออก,Disable Account และ Move User,คลิกขวาที่ User -> Disable Account -> Move -> เลือก Folder Employee>>Disbled>>Employee_leave2020 -> OK,main/คู่มือ Disable AD พนักงานลาออก/คู่มือ Disable AD พนักงานลาออก.pdf
37d23742-ef78-4aa9-ae18-59381475f099,คู่มือ Disable AD พนักงานลาออก,ลบ proxyAddresses,ใน AD User ที่ถูกย้ายไปแล้ว เลือก attribute Editor -> หา proxyAddresses -> Edit -> ลบ Values Smtp: ทั้งหมด -> OK -> Apply -> OK,main/คู่มือ Disable AD พนักงานลาออก/คู่มือ Disable AD พนักงานลาออก.pdf
fa4966a2-d2ab-4b6e-9b86-2ff3d0b2c297,คู่มือ Disable AD พนักงานลาออก,Sync ข้อมูลด้วย PowerShell,เปิด Windows PowerShell -> copy command (จากไฟล์บน Desktop) -> วาง command -> กด Enter เพื่อ Sync ข้อมูล,main/คู่มือ Disable AD พนักงานลาออก/คู่มือ Disable AD พนักงานลาออก.pdf
64960e6a-4cd0-41c6-825b-a4766360e5d3,คู่มือ antivirus trend micro,การติดตั้ง Trend Micro (Windows) - เริ่มต้น,ผู้ใช้ที่บ้านต้องต่อ VPN ก่อนเข้า Network บริษัท จากนั้นดาวน์โหลดโปรแกรมติดตั้งจาก URL ที่ให้ไว้,main/คู่มือ antivirus trend micro/คู่มือ antivirus trend micro macbook.pdf; main/คู่มือ antivirus trend micro/คู่มือ antivirus trend micro windows.pdf
1cd00bdf-e0e8-4fa5-9663-fa3f8dd02b2b,คู่มือ antivirus trend micro,การติดตั้ง Trend Micro (Windows) - เลือก Installer,หลังจากเข้าสู่หน้าดาวน์โหลด ให้เลือก Installer ที่ต้องการ (ส่วนใหญ่เป็น 64 bit),main/คู่มือ antivirus trend micro/คู่มือ antivirus trend micro macbook.pdf; main/คู่มือ antivirus trend micro/คู่มือ antivirus trend micro windows.pdf
0bbc9991-8a75-4de8-bd75-05c37fddf8fa,คู่มือ antivirus trend micro,การติดตั้ง Trend Micro (Windows) - ติดตั้งโปรแกรม,เมื่อดาวน์โหลดเสร็จ ให้รันโปรแกรม installer และทำตามขั้นตอน Next > Next > Yes > Finish,main/คู่มือ antivirus trend micro/คู่มือ antivirus trend micro macbook.pdf; main/คู่มือ antivirus trend micro/คู่มือ antivirus trend micro windows.pdf
11829ab3-f37a-4668-9160-13f4567c35bc,คู่มือ antivirus trend micro,การติดตั้ง Trend Micro (Windows) - Restart,หลังติดตั้งเสร็จ โปรแกรมจะให้ Restart เครื่องคอมพิวเตอร์,main/คู่มือ antivirus trend micro/คู่มือ antivirus trend micro macbook.pdf; main/คู่มือ antivirus trend micro/คู่มือ antivirus trend micro windows.pdf
7505430a-c30e-4ca3-8425-414531443a2a,คู่มือ antivirus trend micro,การใช้งาน Trend Micro (Windows) - Scan,หลัง Restart ให้เปิดโปรแกรม Trend Micro และทำการ Scan เครื่อง โดยเลือก Scan ทั้งหมด (Full Scan) หลังสแกนเสร็จ ให้ Restart เครื่องอีกครั้ง,main/คู่มือ antivirus trend micro/คู่มือ antivirus trend micro macbook.pdf; main/คู่มือ antivirus trend micro/คู่มือ antivirus trend micro windows.pdf
49a20192-aaff-4d45-af3f-06a37b67ddb0,คู่มือ antivirus trend micro,การติดตั้ง Trend Micro (Mac) - เริ่มต้น,ผู้ใช้ที่บ้านต้องต่อ VPN ก่อนเข้า Network บริษัท จากนั้นดาวน์โหลดโปรแกรมติดตั้งจาก URL ที่ให้ไว้,main/คู่มือ antivirus trend micro/คู่มือ antivirus trend micro macbook.pdf; main/คู่มือ antivirus trend micro/คู่มือ antivirus trend micro windows.pdf
608a8100-598a-4814-b30d-c1e9a1452ea2,คู่มือ antivirus trend micro,การติดตั้ง Trend Micro (Mac) - ติดตั้งโปรแกรม (.pkg),เปิดไฟล์ tmsminstall.pkg ใน Finder แล้วกด Allow > Continue > Install ใส่ Password เครื่อง Mac,main/คู่มือ antivirus trend micro/คู่มือ antivirus trend micro macbook.pdf; main/คู่มือ antivirus trend micro/คู่มือ antivirus trend micro windows.pdf
58cfde88-7555-42fa-ab77-ac37dc69f79a,คู่มือ antivirus trend micro,การติดตั้ง Trend Micro (Mac) - การให้สิทธิ์,หลังติดตั้งเสร็จ ให้กด OK หลายครั้ง และ Move to Trash หลังจากนั้นให้ Continue แล้วกด Open Security & Privacy ปลดล็อคกุญแจ และใส่ Password เครื่อง,main/คู่มือ antivirus trend micro/คู่มือ antivirus trend micro macbook.pdf; main/คู่มือ antivirus trend micro/คู่มือ antivirus trend micro windows.pdf
2379b221-ca3f-4a0a-98d7-0723917b4d65,คู่มือ antivirus trend micro,การติดตั้ง Trend Micro (Mac) - Details & Allow,ใน Security & Privacy ให้กด Details แล้วติ๊กถูก iCore Service ทั้งหมด และกด OK จากนั้นกด Allow,main/คู่มือ antivirus trend micro/คู่มือ antivirus trend micro macbook.pdf; main/คู่มือ antivirus trend micro/คู่มือ antivirus trend micro windows.pdf
ff501928-0dcd-4c81-9261-1db7de921d80,คู่มือ antivirus trend micro,การติดตั้ง Trend Micro (Mac) - Full Disk Access,ไปที่ Privacy > Full Disk Access แล้วติ๊กถูก Trend Micro Extension หากมีหน้าต่างขึ้นมาให้กด Later,main/คู่มือ antivirus trend micro/คู่มือ antivirus trend micro macbook.pdf; main/คู่มือ antivirus trend micro/คู่มือ antivirus trend micro windows.pdf
f0301ff8-a301-4ae0-9baf-39f91119dd8e,คู่มือ antivirus trend micro,การติดตั้ง Trend Micro (Mac) - เพิ่ม iCore Service และ Apex One (Mac) Security Agent ใน Full Disk Access,เพิ่มไฟล์ iCore Service และ Apex One (Mac) Security Agent เข้าไปใน Full Disk Access โดยลากไฟล์จาก Open File Location เข้าไป แล้วกด Later,main/คู่มือ antivirus trend micro/คู่มือ antivirus trend micro macbook.pdf; main/คู่มือ antivirus trend micro/คู่มือ antivirus trend micro windows.pdf
83868c9b-fd89-4dbd-9de1-99c898ffd01d,คู่มือ antivirus trend micro,การติดตั้ง Trend Micro (Mac) - Restart,หลังจากการตั้งค่าเสร็จสิ้น ให้ Restart เครื่อง MacBook 1 รอบ,main/คู่มือ antivirus trend micro/คู่มือ antivirus trend micro macbook.pdf; main/คู่มือ antivirus trend micro/คู่มือ antivirus trend micro windows.pdf
df84bc4e-7bb6-4014-a9db-b8e1d7f92d82,คู่มือ antivirus trend micro,ข้อกำหนดของระบบ - Apex One (Mac),"ระบบปฏิบัติการที่รองรับ: macOS Mojave 10.14 ขึ้นไป, Processor: Intel Core, RAM: 512MB ขั้นต่ำ, พื้นที่ว่าง: 512MB ขั้นต่ำ",main/คู่มือ antivirus trend micro/คู่มือ antivirus trend micro macbook.pdf; main/คู่มือ antivirus trend micro/คู่มือ antivirus trend micro windows.pdf
6806664f-cce2-4355-8421-85c2c4fa16be,เอกสารAudit_Passwordและคู่มือ,คู่มือการเปลี่ยน Password,"คู่มือนี้อธิบายขั้นตอนการเปลี่ยน Password สำหรับผู้ใช้งาน MFEC โดยเริ่มจากการเข้าเว็บไซต์ AM PM, เลือกประเภทการเปลี่ยน Password (MFEC หรือ บริษัทในเครือ), และทำการเปลี่ยน Password ในหน้าเว็บที่กำหนด หลังจากเปลี่ยนแล้ว รอรหัสผ่านอัพเดท 5 นาที",main/เอกสารAudit_Passwordและคู่มือ/Audit_Password.xlsx; main/เอกสารAudit_Passwordและคู่มือ/audit_password_5-12-2022.xlsx; main/เอกสารAudit_Passwordและคู่มือ/คู่มือเปลี่ยนPassword.docx
a91214bb-826d-4e97-9b0b-59dcebcba908,เอกสารAudit_Passwordและคู่มือ,คำแนะนำด้านความปลอดภัยของ Password,คำแนะนำคือ ไม่ควรใช้คำว่า 'Password' เป็นรหัสผ่าน เนื่องจากง่ายต่อการถูกแฮกเกอร์คาดเดา,main/เอกสารAudit_Passwordและคู่มือ/Audit_Password.xlsx; main/เอกสารAudit_Passwordและคู่มือ/audit_password_5-12-2022.xlsx; main/เอกสารAudit_Passwordและคู่มือ/คู่มือเปลี่ยนPassword.docx
32ba5009-b6eb-449f-b8c8-24b1aeec7795,เอกสารAudit_Passwordและคู่มือ,สถานะ Account ผู้ใช้งาน MFEC,"มีข้อมูล Account ผู้ใช้งาน MFEC จำนวนมาก พร้อมรายละเอียดเช่น accountName, UPN, pwdLastSet, lastLogin, และ accountDisabled รวมถึงสถานะการติดตามการเปลี่ยนรหัสผ่าน",main/เอกสารAudit_Passwordและคู่มือ/Audit_Password.xlsx; main/เอกสารAudit_Passwordและคู่มือ/audit_password_5-12-2022.xlsx; main/เอกสารAudit_Passwordและคู่มือ/คู่มือเปลี่ยนPassword.docx
d9caaa06-2e87-4df0-93f4-ac2f29b247cc,เอกสารAudit_Passwordและคู่มือ,Account ที่ยังไม่ตอบสนองต่อการเปลี่ยน Password,มี Account จำนวน 19 Account ที่ยังไม่ตอบสนองต่อการแจ้งเตือนการเปลี่ยน Password และจะดำเนินการเปลี่ยน Password ให้ หากยังไม่ตอบกลับภายในวันที่ 4/5/2022,main/เอกสารAudit_Passwordและคู่มือ/Audit_Password.xlsx; main/เอกสารAudit_Passwordและคู่มือ/audit_password_5-12-2022.xlsx; main/เอกสารAudit_Passwordและคู่มือ/คู่มือเปลี่ยนPassword.docx
109d9ecf-b3c5-40b5-a149-60d59bb57fcb,BYOD on AMPM,BYOD Registration Process,"ขั้นตอนการสมัคร BYOD บน MPM:
1. Login ที่ ampm.mfec.co.th
2. เลือก MPM Application
3. คลิก Tab BYOD
4. กรอกข้อมูลในฟอร์มให้ครบถ้วน รวมถึงข้อมูล Asset ที่ถือครอง (ถ้ามี)
5. กด OK เพื่อบันทึกข้อมูล
6. กด Submit เพื่อส่งให้หัวหน้างานและ IT อนุมัติ",main/BYOD on AMPM/Manual BYOD On MPM By Sense.pdf
8ec5a5e0-155b-4cab-9d6e-a82c94f1fcb5,BYOD on AMPM,BYOD Approval Process,"ขั้นตอนการอนุมัติ BYOD:
1. เมื่อมีผู้สมัคร Submit BYOD จะมีอีเมลแจ้งเตือน
2. คลิก Link ในอีเมลเพื่อไปยัง MPM
3. คลิก View เพื่อดูรายละเอียดการสมัคร
4. ใส่ผลการอนุมัติ (Approve/Reject) แล้วกด OK",main/BYOD on AMPM/Manual BYOD On MPM By Sense.pdf
e27c18b2-8186-4a46-a28a-f468e6a3f2a9,How to generate MFA,Login Office.com,เข้าสู่ระบบ Office.com ด้วยอีเมลของ MFEC,main/How to generate MFA/how to generate mfa.pdf
ecc1edee-2c64-4ab1-83ab-ab1ecb83b759,How to generate MFA,ตั้งชื่อ Account MFA,ตั้งชื่อ account MFA ในระบบ โดยมีความยาวอย่างน้อย 8 ตัวอักษร,main/How to generate MFA/how to generate mfa.pdf
f881648e-9e2e-491d-907f-aa5296695b34,How to generate MFA,Copy Password MFA,คัดลอก (copy) รหัสผ่านที่ Microsoft สร้างให้ ไปใส่ใน Outlook เมื่อระบบแจ้งให้ใส่ password,main/How to generate MFA/how to generate mfa.pdf
9ab9a351-80f8-4fbc-8728-f8313fde6c80,คู่มือติดตั้ง Driver Printer Samsung LPN.21,Driver Samsung X4300: ดาวน์โหลดและแตกไฟล์,ดาวน์โหลด Driver Samsung X4300 จากนั้นทำการแตกไฟล์ (Extract) ที่ดาวน์โหลดมาเพื่อเตรียมสำหรับการติดตั้ง,main/คู่มือติดตั้ง Driver Printer Samsung LPN.21/คู่มือ ซัมซุง/printer x4300.pdf
84cc5f29-f73c-4457-bfbb-be9e660f6f87,คู่มือติดตั้ง Driver Printer Samsung LPN.21,Driver Samsung X4300: การติดตั้ง Driver,เรียกใช้ไฟล์ Setup เพื่อเริ่มการติดตั้ง Driver Printer Samsung X4300,main/คู่มือติดตั้ง Driver Printer Samsung LPN.21/คู่มือ ซัมซุง/printer x4300.pdf
b10ef715-62d4-480d-9886-05335dd642ec,คู่มือติดตั้ง Driver Printer Samsung LPN.21,Driver Samsung X4300: ข้อตกลงและ Privacy,อ่านและยอมรับข้อตกลงการใช้งานซอฟต์แวร์ (End User License Agreement) และนโยบายความเป็นส่วนตัว (Privacy Statement) ก่อนดำเนินการติดตั้งต่อ,main/คู่มือติดตั้ง Driver Printer Samsung LPN.21/คู่มือ ซัมซุง/printer x4300.pdf
aaae4e87-c5e9-46de-aec3-6b3f86f30c9f,คู่มือติดตั้ง Driver Printer Samsung LPN.21,Driver Samsung X4300: เลือกประเภทการเชื่อมต่อ,เลือกว่าจะเชื่อมต่อ Printer กับคอมพิวเตอร์ผ่าน Network หรือ Ethernet cable,main/คู่มือติดตั้ง Driver Printer Samsung LPN.21/คู่มือ ซัมซุง/printer x4300.pdf
e1c66b36-17a0-44f0-bca2-e8a81442944e,คู่มือติดตั้ง Driver Printer Samsung LPN.21,Driver Samsung X4300: Network Connection,สำหรับการเชื่อมต่อแบบ Network ตรวจสอบให้แน่ใจว่า Printer รองรับ Network และเชื่อมต่อสาย Network แล้ว,main/คู่มือติดตั้ง Driver Printer Samsung LPN.21/คู่มือ ซัมซุง/printer x4300.pdf
a4c51e41-af5b-49c9-b64d-433c9c5c5d3f,คู่มือติดตั้ง Driver Printer Samsung LPN.21,Driver Samsung X4300: Ethernet Connection,สำหรับการเชื่อมต่อผ่าน Ethernet cable ให้เปิด Printer และเชื่อมต่อสาย Ethernet จากนั้นคลิก 'Next' ,main/คู่มือติดตั้ง Driver Printer Samsung LPN.21/คู่มือ ซัมซุง/printer x4300.pdf
33f2608f-6fc9-4387-b45a-84133a55b026,คู่มือติดตั้ง Driver Printer Samsung LPN.21,Driver Samsung X4300: ไม่พบ Printer,หากโปรแกรมติดตั้งไม่พบ Printer ตรวจสอบให้แน่ใจว่า Printer เปิดอยู่และเชื่อมต่อกับคอมพิวเตอร์แล้ว จากนั้นคลิก 'Search Again' ,main/คู่มือติดตั้ง Driver Printer Samsung LPN.21/คู่มือ ซัมซุง/printer x4300.pdf
07ccfb4e-3c9b-42d0-ae9b-ad8bcd6aa838,คู่มือติดตั้ง Driver Printer Samsung LPN.21,Driver Samsung X4300: ค้นหา Printer,สามารถระบุ Printer ด้วยชื่อ Host หรือ IP address หรือค้นหาในช่วง IP address ที่กำหนด,main/คู่มือติดตั้ง Driver Printer Samsung LPN.21/คู่มือ ซัมซุง/printer x4300.pdf
2c15b429-ee8f-49a3-987f-7666bc2ddbc5,คู่มือติดตั้ง Driver Printer Samsung LPN.21,Driver Samsung X4300: ตั้งค่า Printer,"สามารถเปลี่ยนชื่อ Printer, กำหนด Printer default และ Share Printer กับผู้ใช้งานอื่นบน Network ได้",main/คู่มือติดตั้ง Driver Printer Samsung LPN.21/คู่มือ ซัมซุง/printer x4300.pdf
291fde9e-4962-4abb-a5ae-d9347d3e3e16,คู่มือติดตั้ง Driver Printer Samsung LPN.21,Driver Samsung X4300: ติดตั้ง Driver,โปรแกรมจะทำการติดตั้ง Driver Printer,main/คู่มือติดตั้ง Driver Printer Samsung LPN.21/คู่มือ ซัมซุง/printer x4300.pdf
f4f0bd9b-b40c-4123-a581-2506b2a03f7f,คู่มือติดตั้ง Driver Printer Samsung LPN.21,Driver Samsung X4300: พิมพ์หน้าทดสอบ,เลือกพิมพ์หน้าทดสอบ (Print a test page) หลังจากการติดตั้งเสร็จสิ้น,main/คู่มือติดตั้ง Driver Printer Samsung LPN.21/คู่มือ ซัมซุง/printer x4300.pdf
f99154d5-01b0-4b5f-b508-782c595fe604,คู่มือติดตั้ง Driver Printer Samsung LPN.21,Printer Settings (Windows),Access printer settings and preferences through Windows Settings > Bluetooth & devices > Printers & scanners,main/คู่มือติดตั้ง Driver Printer Samsung LPN.21/คู่มือ ซัมซุง/printer x4300.pdf
c1e080d5-7a42-47ed-b76c-ad69bd88ffa5,คู่มือติดตั้ง Driver Printer Samsung LPN.21,Driver Samsung X4300: Printer Properties,"เข้าถึง Printer Properties เพื่อปรับแต่งการตั้งค่าขั้นสูง เช่น Sharing, Ports, Advanced settings, Color Management, Security และ Device Options",main/คู่มือติดตั้ง Driver Printer Samsung LPN.21/คู่มือ ซัมซุง/printer x4300.pdf
860817d5-9991-4a29-9ec0-2f0f1306095e,คู่มือติดตั้ง Driver Printer Samsung LPN.21,Driver Samsung X4300: Printing Defaults,ตั้งค่า Default Printing เช่น Paper type และ Device settings,main/คู่มือติดตั้ง Driver Printer Samsung LPN.21/คู่มือ ซัมซุง/printer x4300.pdf
63644025-4696-4d14-8bbd-ad8ed65521e6,คู่มือติดตั้ง Driver Printer Samsung LPN.21,Driver Samsung X4300: Job Accounting,ตั้งค่า Job Accounting เพื่อควบคุมการใช้งาน Printer โดยกำหนด User permission หรือ Group permission และ ID,main/คู่มือติดตั้ง Driver Printer Samsung LPN.21/คู่มือ ซัมซุง/printer x4300.pdf
e6e4b1c1-b0a3-418a-9699-605353f37484,AMPM,Step Sync User NAV to MPM,"ขั้นตอนการ Sync ข้อมูล User จาก NAV ไปยัง MPM Server โดย SSH เข้าไปยัง MPM Server ที่ IP 10.6.100.21 port 22 ด้วย user ของ IT, sudo -i, cd ไปที่ /rails_apps/new-mpm และรัน ./update_employee",main/AMPM/MPM Script.docx; main/AMPM/Manual for support-OT.docx; main/AMPM/คู่มือเกี่ยวกับAMPMทั้งหมด.docx
